序號,行政區別,場所名稱,公告禁菸日期,縣市別
108,63000030,和平國小周邊人行道,20180101,63000
109,63000030,溫州街45號周邊及綠地,20200701,63000
110,63000030,?公圳綠帶,20210401,63000
111,63000030,敦南街76巷綠地,20210701,63000
112,63000030,國立臺灣大學男生第六及第八宿舍之正門前人行道,20240101,63000
113,63000030,國立臺灣師範大學和平校區之周邊人行道,20240901,63000
114,63000030,懷生段四小段121地號綠地,20240901,63000
115,63000030,懷生段四小段9、10、10-1部分地號,20240901,63000
116,63000030,懷生段四小段521-2地號國有土地,20240901,63000
117,63000030,臺北市私立菁英種子幼兒園緊臨人行道,20241101,63000
118,63000030,財團法人天主教會台北教區附設臺北市私立信光幼兒園緊臨人行道,20241101,63000
119,63000030,財團法人天主教會台北教區附設臺北市私立曉星幼兒園緊臨人行道,20241101,63000
120,63000030,臺北市辛亥非營利幼兒園（委託社團法人中華婦幼發展協會辦理）緊臨人行道,20241101,63000
121,63000030,臺北市私立信宜幼兒園周緊臨人行道,20241101,63000
122,63000030,臺北市私立嘟嘟幼兒園緊臨人行道,20241101,63000
123,63000030,財團法人台灣聖公會附設臺北市私立聖約翰幼兒園緊臨人行道,20241101,63000
124,63000030,臺北市私立丘山幼兒園緊臨人行道,20241101,63000
125,63000030,國家科學及技術委員會職場互助教保服務中心（委託社團法人台灣公共托育協會辦理）緊臨騎樓及人行道,20241101,63000
126,63000030,財團法人台北市基督教浸信會懷恩堂附設臺北市私立懷恩幼兒園緊臨退縮地及人行道,20241101,63000
127,63000030,國立臺灣大學綜合體育館周邊人行道,20250501,63000
128,63000030,臺北市大安區龍泉段一小段263及264-1地號（泰順街5號旁機車停車場）,20250520,63000
129,63000030,大安區金華段四小段206地號綠美化空地,20250701,63000
130,63000030,台北清真寺周邊人行道,20250801,63000
131,63000030,68個無菸公園,20140401,63000
132,63000040,林安泰古厝民俗文物館,20111001,63000
133,63000040,實踐大學周邊人行道,20130301,63000
134,63000040,第一殯儀館(除吸菸區外禁止吸菸),20121001,63000
135,63000040,長安國小周邊人行道,20130531,63000
136,63000040,中山運動中心戶外區域,20140701,63000
137,63000040,大同大學周邊人行道,20141101,63000
138,63000040,五常國小周邊人行道,20150531,63000
139,63000040,臺北市立圖書館大直分館周邊人行道,20160301,63000
140,63000040,中山女高周邊人行道,20160701,63000
141,63000040,大直高中周邊人行道,20160701,63000
142,63000040,大同高中周邊人行道,20160701,63000
143,63000040,長安國中周邊人行道,20160701,63000
144,63000040,北安國中周邊人行道,20160701,63000
145,63000040,濱江國中周邊人行道,20160701,63000
146,63000040,五常國中周邊人行道,20160701,63000
147,63000040,新興國中周邊人行道,20160701,63000
148,63000040,中山國小周邊人行道,20160701,63000
149,63000040,中正國小周邊人行道,20160701,63000
150,63000040,濱江國小周邊人行道,20160701,63000
151,63000040,大直國小周邊人行道,20160701,63000
152,63000040,大佳國小周邊人行道,20160701,63000
153,63000040,吉林國小周邊人行道,20160701,63000
154,63000040,懷生國小周邊人行道,20160701,63000
155,63000040,永安國小周邊人行道,20160701,63000
156,63000040,長春國小周邊人行道,20160701,63000
157,63000040,中興高中周邊人行道,20161226,63000
158,63000040,大同高中周邊人行道,20161226,63000
159,63000040,中山地政事務所周邊戶外區域,20190301,63000
160,63000040,臺北大學臺北校區周邊人行道及機車停車場,20200501,63000
161,63000040,臺北市私立五常幼兒園緊臨人行道,20241101,63000
162,63000040,臺北市私立國際蒙特梭利幼兒園緊臨人行道,20241101,63000
163,63000040,臺北市私立蒙特梭利花園幼兒園緊臨人行道,20241101,63000
164,63000040,臺北市私立大智幼兒園緊臨人行道,20241101,63000
165,63000040,臺北市國防部大直非營利幼兒園（委託財團法人中華民國唐氏症基金會辦理）緊臨人行道,20241101,63000
166,63000040,臺北市立育航幼兒園緊臨騎樓及人行道,20241101,63000
167,63000040,90個無菸公園(花博公園除吸菸區外禁止吸菸),20140401,63000
168,63000040,2條登山步道,20181231,63000
169,63000050,河堤國小周邊人行道,20130531,63000
170,63000050,成功高中周邊人行道,20130531,63000
171,63000050,國立臺北商業大學周邊人行道,20131120,63000
172,63000050,中正運動中心戶外區域,20140701,63000
173,63000050,忠孝國小周邊人行道,20150531,63000
174,63000050,螢橋國中周邊人行道,20150531,63000
175,63000050,青少年發展處所屬周邊戶外區域,20151101,63000
176,63000050,北一女周邊人行道,20160701,63000
177,63000050,建國高中周邊人行道,20160701,63000
178,63000050,古亭國中周邊人行道,20160701,63000
179,63000050,南門國中周邊人行道,20160701,63000
180,63000050,弘道國中周邊人行道,20160701,63000
181,63000050,中正國中周邊人行道,20160701,63000
182,63000050,螢橋國小周邊人行道,20160701,63000
183,63000050,忠義國小周邊人行道,20160701,63000
184,63000050,國語實小周邊人行道,20160701,63000
185,63000050,東門國小周邊人行道,20160701,63000
186,63000050,市大附小周邊人行道,20160701,63000
187,63000050,開南商工周邊人行道,20161226,63000
188,63000050,強恕高中周邊人行道,20161226,63000
189,63000050,南華高中職業進修學校周邊人行道,20161226,63000
190,63000050,光華數位新天地所屬1樓周邊戶外區域,20170301,63000
191,63000050,城中社會福利綜合大樓周邊人行道,20200201,63000
192,63000050,臺北市立大學博愛校區周邊人行道,20200801,63000
193,63000050,臺灣大學男生第二宿舍及女生第六宿舍所屬之室外場所及周邊人行道,20210401,63000
194,63000050,臺北車站周邊區域,20220101,63000
195,63000050,臺北市公有幸安市場大樓所屬之室外場所,20220801,63000
196,63000050,臺北市私立家緣蒙特梭利幼兒園緊臨人行道,20241101,63000
197,63000050,教育部徐州大樓職場互助教保服務中心（委託社團法人台北市教保人員協會辦理）緊臨人行道,20241101,63000
198,63000050,東吳大學城中校區,20230901,63000
199,63000050,羅斯福路1段45號至53號綠地,20250501,63000
200,63000050,憲兵第二０二指揮部所屬貴陽大樓之周邊人行道,20250801,63000
201,63000050,20個無菸公園,20140401,63000
202,63000060,延平國小周邊人行道,20130531,63000
203,63000060,民權國中周邊人行道,20130531,63000
204,63000060,重慶國中周邊人行道,20130531,63000
205,63000060,大同運動中心戶外區域,20140701,63000
206,63000060,寧夏夜市,20141101,63000
207,63000060,臺北市5個捷運車站出口周邊戶外區域-捷運中山地下街R1出口旁,20160501,63000
208,63000060,臺北市5個捷運車站出口周邊戶外區域-捷運中山地下街R1出口旁空地,20160501,63000
209,63000060,明倫高中周邊人行道,20160701,63000
210,63000060,成淵高中周邊人行道,20160701,63000
211,63000060,建成國中周邊人行道,20160701,63000
212,63000060,忠孝國中周邊人行道,20160701,63000
213,63000060,蘭州國中周邊人行道,20160701,63000
214,63000060,蓬萊國小周邊人行道,20160701,63000
215,63000060,日新國小周邊人行道,20160701,63000
216,63000060,太平國小周邊人行道,20160701,63000
217,63000060,永樂國小周邊人行道,20160701,63000
218,63000060,雙蓮國小周邊人行道,20160701,63000
219,63000060,大同國小周邊人行道,20160701,63000
220,63000060,大龍國小周邊人行道,20160701,63000
221,63000060,大橋國小周邊人行道,20160701,63000
222,63000060,啟聰學校周邊人行道,20160701,63000
223,63000060,靜修女中（附設國民中學）周邊人行道,20161226,63000
224,63000060,太原懷舊廣場,20190401,63000
225,63000060,六藝廣場,20210601,63000
226,63000060,皇翔中山大樓所屬之騎樓及室外場所,20211001,63000
227,63000060,大稻埕遊客中心所屬騎樓,20230101,63000
228,63000060,大?峒社會住宅,20240901,63000
229,63000060,臺北市私立功文雪泥幼兒園緊臨人行道,20241101,63000
230,63000060,臺北市私立功文成長幼兒園緊臨人行道,20241101,63000
231,63000060,財團法人天主教會台北教區附設臺北市私立聖心幼兒園緊臨退縮地及人行道,20241101,63000
232,63000060,2025台北年貨大街,20250111-20250127,63000
233,63000060,臺北市大同區南京西路64巷14弄美化空地,20250201,63000
234,63000060,明倫社會住宅,20250901,63000
235,63000060,23個無菸公園,20140401,63000
236,63000070,華江國小周邊人行道,20130531,63000
237,63000070,萬華運動中心戶外區域,20140701,63000
238,63000070,雙園國小周邊人行道,20150531,63000
239,63000070,華江高中周邊人行道,20160701,63000
240,63000070,大理高中周邊人行道,20160701,63000
241,63000070,萬華國中周邊人行道,20160701,63000
242,63000070,雙園國中周邊人行道,20160701,63000
243,63000070,龍山國中周邊人行道,20160701,63000
244,63000070,新和國小周邊人行道,20160701,63000
245,63000070,東園國小周邊人行道,20160701,63000
246,63000070,大理國小周邊人行道,20160701,63000
247,63000070,西園國小周邊人行道,20160701,63000
248,63000070,萬大國小周邊人行道,20160701,63000
249,63000070,西門國小周邊人行道,20160701,63000
250,63000070,老松國小周邊人行道,20160701,63000
251,63000070,福星國小周邊人行道,20160701,63000
252,63000070,龍山國小周邊人行道,20160701,63000
253,63000070,光仁國小周邊人行道,20161226,63000
254,63000070,立人高中（附設國民中學）周邊人行道,20161226,63000
255,63000070,捷運西門站1號及6號出口周邊戶外區域,20200701,63000
256,63000070,臺北市私立寶興幼兒園緊臨人行道,20241101,63000
257,63000070,北部台灣基督長老教會艋舺教會附設臺北市私立愛心幼兒園緊臨人行道,20241101,63000
258,63000070,臺北市私立娃娃果幼兒園緊臨退縮地及人行道,20241101,63000
259,63000070,青年社會住宅,25020901,63000
260,63000070,莒光社會住宅,20250901,63000
261,63000070,32個無菸公園,20140401,63000
262,63000080,臺北市立動物園,20090711,63000
263,63000080,文山運動中心戶外區域,20140701,63000
264,63000080,溪口國小周邊人行道,20150531,63000
265,63000080,興隆國小周邊人行道,20150531,63000
266,63000080,萬興國小周邊人行道,20150531,63000
267,63000080,木柵高工周邊人行道,20150801,63000
268,63000080,興華國小周邊人行道,20151001,63000
269,63000080,臺北市5個捷運車站出口周邊戶外區域-捷運萬芳醫院站出口旁,20160501,63000
270,63000080,臺北市立動物園門口前廣場,20160531,63000
271,63000080,世新大學及該校管理學院周邊人行道,20160531,63000
272,63000080,景美高中周邊人行道,20160701,63000
273,63000080,木柵國中周邊人行道,20160701,63000
274,63000080,景興國中周邊人行道,20160701,63000
275,63000080,景美國中周邊人行道,20160701,63000
276,63000080,興福國中周邊人行道,20160701,63000
277,63000080,實踐國中周邊人行道,20160701,63000
278,63000080,景美國小周邊人行道,20160701,63000
279,63000080,武功國小周邊人行道,20160701,63000
280,63000080,興德國小周邊人行道,20160701,63000
281,63000080,志清國小周邊人行道,20160701,63000
282,63000080,景興國小周邊人行道,20160701,63000
283,63000080,永建國小周邊人行道,20160701,63000
284,63000080,實踐國小周邊人行道,20160701,63000
285,63000080,博嘉國小周邊人行道,20160701,63000
286,63000080,指南國小周邊人行道,20160701,63000
287,63000080,萬福國小周邊人行道,20160701,63000
288,63000080,辛亥國小周邊人行道,20160701,63000
289,63000080,明道國小周邊人行道,20190501,63000
290,63000080,萬芳國小周邊人行道,20160701,63000
291,63000080,力行國小周邊人行道,20160701,63000
292,63000080,木柵國小周邊人行道,20160701,63000
293,63000080,文山特殊教育學校周邊人行道,20160701,63000
294,63000080,中山國小周邊人行道,20161226,63000
295,63000080,靜心中小學周邊人行道,20161226,63000
296,63000080,再興高中（附設國民中小學）周邊人行道,20161226,63000
297,63000080,大誠高中周邊人行道,20161226,63000
298,63000080,滬江高中周邊人行道,20161226,63000
299,63000080,景文高中（附設國民中學）周邊人行道,20161226,63000
300,63000080,政治大學周邊人行道,20180101,63000
301,63000080,福德坑環保復育園區,20200701,63000
302,63000080,翰林苑社區所屬之戶外公共設施區域,20200201,63000
303,63000080,國立政治大學附屬高級中學周邊人行道,20200801,63000
304,63000080,一壽街聯合辦公大樓所屬之室外場所及周邊人行道,20210801,63000
305,63000080,國立臺灣師範大學公館校區周邊人行道,20210915,63000
306,63000080,統一便利商店華興店所屬之室外場所及周邊人行道(含線型人行道),20220531,63000
307,63000080,萊爾富便利商店文山心動店所屬之室外場所及周邊人行道,20220531,63000
308,63000080,永建市場大樓所屬之室外場所及周邊人行道(含線型人行道),20220531,63000
309,63000080,臺北市同心華德福實驗教育機構所屬之室外場所及周邊人行道(包括：出發義大利廚房文山店、麥當勞-台北考試院店、統一便利商店試院店之室外場所)及臺北市實永非營利幼兒園周邊線型人行道,20220531,63000
310,63000080,國立臺灣戲曲學院木柵校區周邊人行道,20230501,63000
311,63000080,景新合署大樓所屬室外場所及周邊人行道,20230601,63000
312,63000080,木柵路1段172-1號旁戶外區域 (地號：04180000),20240229,63000
313,63000080,拓真社區所屬之戶外公共區域,20240615,63000
314,63000080,興岩社會福利綜合大樓所屬室外場所及周邊人行道,20240701,63000
315,63000080,捷運萬芳醫院站周邊人行道,20240715,63000
316,63000080,興?D1區社會住宅,20240901,63000
317,63000080,興?D2區社會住宅,20240901,63000
318,63000080,和興水岸社宅所屬之戶外公共區域,20241001,63000
319,63000080,臺北市私立幼林幼兒園緊臨人行道,20241101,63000
320,63000080,臺北市私立巧可麗幼兒園緊臨人行道,20241101,63000
321,63000080,臺北市私立巨星幼兒園緊臨人行道,20241101,63000
322,63000080,臺北市私立阿布格幼兒園緊臨騎樓及人行道,20241101,63000
323,63000080,臺北市立文山幼兒園緊臨騎樓及人行道,20241101,63000
324,63000080,臺北市景美非營利幼兒園（委託財團法人台北基督教女青年會辦理）緊臨退縮地及人行道,20241101,63000
325,63000080,國立政治大學附設實驗國民小學周邊人行道,20250201,63000
326,63000080,興?A社會住宅,20250701,63000
327,63000080,木柵社會住宅,20250901,63000
328,63000080,樟新水岸社會住宅,20250901,63000
329,63000080,22條登山步道,20181231,63000
330,63000090,育成高中周邊人行道,20130531,63000
331,63000090,南港高工周邊人行道,20130531,63000
332,63000090,南港運動中心戶外區域,20140701,63000
333,63000090,南港國小周邊人行道,20150531,63000
334,63000090,誠正國中周邊人行道,20150531,63000
335,63000090,南港高中周邊人行道,20160701,63000
336,63000090,成德國中周邊人行道,20160701,63000
337,63000090,舊莊國小周邊人行道,20160701,63000
338,63000090,玉成國小周邊人行道,20160701,63000
339,63000090,成德國小周邊人行道,20160701,63000
340,63000090,修德國小周邊人行道,20160701,63000
341,63000090,東新國小周邊人行道,20160701,63000
342,63000090,胡適國小周邊人行道,20160701,63000
343,63000090,山水綠生態公園,20200701,63000
344,63000090,南港瓶蓋工廠台北製造所及其東側10米通道,20210701,63000
345,63000090,中南社會住宅,20240901,63000
346,63000090,臺北市私立海格斯大千幼兒園緊臨人行道,20241101,63000
347,63000090,臺北市私立欣苗幼兒園緊臨人行道,20241101,63000
348,63000090,世平興業股份有限公司附設臺北市私立員工子女幼兒園緊臨人行道,20241101,63000
349,63000090,臺北市私立龍華幼兒園緊臨人行道,20241101,63000
350,63000090,臺北市港福非營利幼兒園(委託中華學校財團法人辦理)緊臨退縮地及人行道,20241101,63000
351,63000090,中央研究院附設臺北市私立幼兒園緊臨退縮地及人行道,20241101,63000
352,63000090,奇異文教股份有限公司附設臺北市私立奇異鳥幼兒園緊臨退縮地及人行道,20241101,63000
353,63000090,臺北市私立經貿夢想幼兒園緊臨退縮地及人行道,20241101,63000
354,63000090,臺北市南港區『威京尊龍第三期社區』所屬之戶外公共區域,20241101,63000
355,63000090,台北南港展覽館1、2館、TFC南港經貿大樓、捷運南港展覽館站周邊戶外區域,20250101,63000
356,63000090,小彎社會住宅,20250901,63000
357,63000090,東明社會住宅,20250901,63000
358,63000090,52個無菸公園,20140401,63000
359,63000090,11條登山步道,20181231,63000
360,63000100,大湖國小周邊人行道,20130531,63000
361,63000100,內湖運動中心戶外區域,20140701,63000
362,63000100,康寧大學周邊人行道,20141001,63000
363,63000100,財團法人公共電視文化事業基金會所屬A、B、C大樓周邊人行道,20141101,63000
364,63000100,三民國中周邊人行道,20150531,63000
365,63000100,麗山高中周邊人行道,20150531,63000
366,63000100,內湖高中周邊人行道,20150531,63000
367,63000100,內湖國中周邊人行道,20150701,63000
368,63000100,方濟中學周邊人行道,20160701,63000
369,63000100,南湖高中周邊人行道,20160701,63000
370,63000100,內湖高工周邊人行道,20160701,63000
371,63000100,麗山國中周邊人行道,20160701,63000
372,63000100,西湖國中周邊人行道,20160701,63000
373,63000100,東湖國中周邊人行道,20160701,63000
374,63000100,明湖國中周邊人行道,20160701,63000
375,63000100,內湖國小周邊人行道,20160701,63000
376,63000100,碧湖國小周邊人行道,20160701,63000
377,63000100,潭美國小周邊人行道,20160701,63000
378,63000100,東湖國小周邊人行道,20160701,63000
379,63000100,西湖國小周邊人行道,20160701,63000
380,63000100,康寧國小周邊人行道,20160701,63000
381,63000100,明湖國小周邊人行道,20160701,63000
382,63000100,麗山國小周邊人行道,20160701,63000
383,63000100,新湖國小周邊人行道,20160701,63000
384,63000100,南湖國小周邊人行道,20160701,63000
385,63000100,文湖國小周邊人行道,20160701,63000
386,63000100,麗湖國小周邊人行道,20160701,63000
387,63000100,達人女中（附設國民中學）周邊人行道,20161226,63000
388,63000100,文德女中周邊人行道,20161226,63000
389,63000100,德明財經科技大學周邊人行道,20210801,63000
390,63000100,碧山露營場,20180401,63000
391,63000100,內溝溪生態展示館,20180401,63000
392,63000100,內湖復育園區,20200701,63000
393,63000100,臺北市私立麻雀素食幼兒園緊臨人行道,20241101,63000
394,63000100,臺北市私立諾貝爾幼兒園緊臨人行道,20241101,63000
395,63000100,臺北市私立柏克萊幼兒園緊臨人行道,20241101,63000
396,63000100,臺北市私立小綠山森林幼兒園緊臨人行道,20241101,63000
397,63000100,臺北市私立何嘉仁新湖幼兒園緊臨人行道,20241101,63000
398,63000100,臺北市私立多元智慧幼兒園緊臨人行道,20241101,63000
399,63000100,臺北市私立聖育幼兒園緊臨人行道,20241101,63000
400,63000100,臺北市私立聖喬治幼兒園緊臨人行道,20241101,63000
401,63000100,臺北市私立嘉霙幼兒園緊臨人行道,20241101,63000
402,63000100,臺北市私立陽光森林麗湖幼兒園緊臨人行道,20241101,63000
403,63000100,臺北市康寧非營利幼兒園（委託財團法人幼兒教育基金會辦理）緊臨退縮地及人行道,20241101,63000
404,63000100,臺北市私立柏克立幼兒園緊臨退縮地及人行道,20241101,63000
405,63000100,臺北市新東湖非營利幼兒園(委託社團法人台北市幼兒園協會辦理)緊臨退縮地,20241101,63000
406,63000100,臺北市立網球中心前方戶外區域及人行道(臨內湖區民權東路6段),20250501,63000
407,63000100,瑞光社會住宅,20250901,63000
408,63000100,行善社會住宅,20250901,63000
409,63000100,91個無菸公園,20140401,63000
410,63000100,23條登山步道,20181231,63000
411,63000110,士林官邸正館,20110716,63000
412,63000110,社子國小周邊人行道,20130531,63000
413,63000110,士林運動中心戶外區域,20140701,63000
414,63000110,雨聲國小周邊人行道,20150531,63000
415,63000110,士林國中周邊人行道,20150531,63000
416,63000110,臺北市立兒童新樂園之大門前廣場及第二出入口周邊戶外區域,20150801,63000
417,63000110,陽明高中周邊人行道,20151001,63000
418,63000110,天母國小周邊人行道,20151101,63000
419,63000110,蘭雅國中周邊人行道,20151201,63000
420,63000110,臺北市5個捷運車站出口周邊戶外區域-捷運士林站1號及2號出口旁,20160501,63000
421,63000110,台北美國學校周邊人行道,20160531,63000
422,63000110,百齡高中周邊人行道,20160701,63000
423,63000110,士林高商周邊人行道,20160701,63000
424,63000110,至善國中周邊人行道,20160701,63000
425,63000110,格致國中周邊人行道,20160701,63000
426,63000110,福安國中周邊人行道,20160701,63000
427,63000110,天母國中周邊人行道,20160701,63000
428,63000110,士林國小周邊人行道,20160701,63000
429,63000110,士東國小周邊人行道,20160701,63000
430,63000110,福林國小周邊人行道,20160701,63000
431,63000110,陽明國小周邊人行道,20160701,63000
432,63000110,富安國小周邊人行道,20160701,63000
433,63000110,劍潭國小周邊人行道,20160701,63000
434,63000110,溪山國小周邊人行道,20160701,63000
435,63000110,百齡國小周邊人行道,20160701,63000
436,63000110,葫蘆國小周邊人行道,20160701,63000
437,63000110,雨農國小周邊人行道,20160701,63000
438,63000110,文昌國小周邊人行道,20160701,63000
439,63000110,芝山國小周邊人行道,20160701,63000
440,63000110,蘭雅國小周邊人行道,20160701,63000
441,63000110,三玉國小周邊人行道,20160701,63000
442,63000110,啟智學校周邊人行道,20160701,63000
443,63000110,啟明學校周邊人行道,20160701,63000
444,63000110,華興高中（附設國民中小學）周邊人行道     ,20161226,63000
445,63000110,泰北高中周邊人行道,20161226,63000
446,63000110,衛理女中（附設國民中學）周邊人行道,20161226,63000
447,63000110,台北市日僑學校周邊人行道,20171201,63000
448,63000110,內雙溪自然中心,20180401,63000
449,63000110,市立大學天母校區周邊人行道,20190401,63000
450,63000110,台北歐洲學校周邊人行道,20210301,63000
451,63000110,士林區行政中心所屬之室外場所,20191001,63000
452,63000110,芝山岩區民活動中心所屬之室外場所及周邊人行道,20210601,63000
453,63000110,東吳大學外雙溪校區,20230901,63000
454,63000110,臺北市私立翰諾幼兒園緊臨人行道,20241101,63000
455,63000110,臺北市私立民華幼兒園緊臨人行道,20241101,63000
456,63000110,臺北市私立奧爾仕幼兒園緊臨人行道,20241101,63000
457,63000110,臺北市私立十大幼兒園緊臨人行道,20241101,63000
458,63000110,財團法人臺灣聖公會附設臺北市私立牧愛堂幼兒園緊臨人行道,20241101,63000
459,63000110,臺北市私立弘明幼兒園緊臨人行道,20241101,63000
460,63000110,臺北市私立孩子國幼兒園緊臨人行道,20241101,63000
461,63000110,臺北市私立幼天才幼兒園緊臨騎樓及人行道,20241101,63000
462,63000110,臺北市私立社中幼兒園緊臨騎樓及人行道,20241101,63000
463,63000110,臺北市私立星莆幼兒園緊臨騎樓及人行道,20241101,63000
464,63000110,臺北市立天母棒球場周邊戶外區域,20250501,63000
465,63000110,89個無菸公園(士林官邸公園除吸菸區外禁止吸菸),20140401,63000
466,63000110,23條登山步道,20181231,63000
467,63000120,北投國小周邊人行道,20130531,63000
468,63000120,清江國小周邊人行道,20130531,63000
469,63000120,北投運動中心戶外區域,20140701,63000
470,63000120,關渡國小周邊人行道,20150531,63000
471,63000120,北投國中周邊人行道,20150531,63000
472,63000120,國立臺北護理健康大學周邊人行道,20150531,63000
473,63000120,關渡國中周邊人行道,20151001,63000
