序號,行政區別,場所名稱,公告禁菸日期,縣市別
1,63000010,健康國小周邊人行道,20120430,63000
2,63000010,介壽國中周邊人行道,20130531,63000
3,63000010,民生國小周邊人行道,20140531,63000
4,63000010,松山運動中心戶外區域,20140701,63000
5,63000010,臺北市政府體育局所屬行政大樓之前方戶外區域,20150101,63000
6,63000010,臺北體育館之前方戶外區域,20150101,63000
7,63000010,臺北網球場之前方戶外區域,20150101,63000
8,63000010,民生副中心大樓周邊人行道,20150301,63000
9,63000010,西松高中周邊人行道,20150531,63000
10,63000010,西松國小周邊人行道,20151001,63000
11,63000010,臺北市松山區民生社區中心外廣場,20160301,63000
12,63000010,中崙高中周邊人行道,20160701,63000
13,63000010,中山國中周邊人行道,20160701,63000
14,63000010,民生國中周邊人行道,20160701,63000
15,63000010,敦化國中周邊人行道,20160701,63000
16,63000010,松山國小周邊人行道,20160701,63000
17,63000010,敦化國小周邊人行道,20160701,63000
18,63000010,民權國小周邊人行道,20160701,63000
19,63000010,民族國小周邊人行道,20160701,63000
20,63000010,三民國小周邊人行道,20160701,63000
21,63000010,育達商職周邊人行道,20161226,63000
22,63000010,臺北市私立聖如幼兒園緊臨人行道,20241101,63000
23,63000010,臺北市私立聖儒幼兒園緊臨人行道,20241101,63000
24,63000010,臺北市私立童欣幼兒園緊臨人行道,20241101,63000
25,63000010,臺北市私立耕心幼兒園緊臨人行道,20241101,63000
26,63000010,臺北市私立優寶幼兒園緊臨人行道,20241101,63000
27,63000010,臺北市私立郁欣幼兒園緊臨人行道,20241101,63000
28,63000010,臺北市私立正欣幼兒園緊臨人行道,20241101,63000
29,63000010,臺北市私立正欣啟蒙幼兒園緊臨人行道,20241101,63000
30,63000010,臺北市私立嘉維幼兒園緊臨騎樓及人行道,20241101,63000
31,63000010,臺北市私立喜樂幼兒園緊臨騎樓及人行道,20241101,63000
32,63000010,臺北市私立天喜幼兒園緊臨騎樓及人行道,20241101,63000
33,63000010,臺北市私立純青幼兒園緊臨騎樓及人行道,20241101,63000
34,63000010,臺北市私立小親親幼兒園緊臨騎樓及人行道,20241101,63000
35,63000010,財團法人臺灣省臺南市天主教鮑思高慈幼會附設臺北市私立思高幼兒園緊臨騎樓及人行道,20241101,63000
36,63000010,臺北體育園區,20250501,63000
37,63000010,健康社會住宅,20250901,6300
38,63000010,50個無菸公園,20140401,63000
39,63000020,信義廣場,20090711,63000
40,63000020,松山文化創意園區,20110930,63000
41,63000020,市府轉運站大樓周邊人行道,20121101,63000
42,63000020,市政大樓戲沙區周邊區域,20130531,63000
43,63000020,興雅國小周邊人行道,20130531,63000
44,63000020,信義運動中心戶外區域,20140701,63000
45,63000020,三興國小周邊人行道,20150531,63000
46,63000020,松山高級工農職業學校周邊人行道,20150531,63000
47,63000020,松山家商周邊人行道,20160701,63000
48,63000020,永春高中周邊人行道,20160701,63000
49,63000020,松山高中周邊人行道,20160701,63000
50,63000020,興雅國中周邊人行道,20160701,63000
51,63000020,永吉國中周邊人行道,20160701,63000
52,63000020,?公國中周邊人行道,20160701,63000
53,63000020,信義國中周邊人行道,20160701,63000
54,63000020,永春國小周邊人行道,20160701,63000
55,63000020,光復國小周邊人行道,20160701,63000
56,63000020,信義國小周邊人行道,20160701,63000
57,63000020,吳興國小周邊人行道,20160701,63000
58,63000020,福德國小周邊人行道,20160701,63000
59,63000020,永吉國小周邊人行道,20160701,63000
60,63000020,博愛國小周邊人行道,20160701,63000
61,63000020,香堤廣場周邊戶外區域,20240601,63000
62,63000020,協和祐德高中周邊人行道,20161226,63000
63,63000020,市政大樓及周邊戶外區域,20190201,63000
64,63000020,臺北大巨蛋園區所屬之室外場所,20240901,63000
65,63000020,臺北市私立宗周幼兒園緊臨人行道,20241101,63000
66,63000020,臺北市私立友愛幼兒園緊臨人行道,20241101,63000
67,63000020,財團法人台北市中華基督教青年會附設臺北市私立永吉幼兒園緊臨退縮地及人行道,20241101,63000
68,63000020,55個無菸公園,20140401,63000
69,63000020,23條登山步道,20181231,63000
70,63000030,建國花市,20100717,63000
71,63000030,建國玉市,20100717,63000
72,63000030,藝文特區,20100717,63000
73,63000030,第二殯儀館(除吸菸區外禁止吸菸),20121001,63000
74,63000030,國立臺北科技大學周邊人行道,20130801,63000
75,63000030,大安運動中心戶外區域,20140701,63000
76,63000030,師大附中周邊人行道,20141101,63000
77,63000030,古亭國小周邊人行道,20150531,63000
78,63000030,國立臺灣科技大學周邊人行道,20160201,63000
79,63000030,和平高中周邊人行道,20160701,63000
80,63000030,大安高工周邊人行道,20160701,63000
81,63000030,仁愛國中周邊人行道,20160701,63000
82,63000030,大安國中周邊人行道,20160701,63000
83,63000030,芳和國中周邊人行道,20160701,63000
84,63000030,龍門國中周邊人行道,20160701,63000
85,63000030,懷生國中周邊人行道,20160701,63000
86,63000030,民族國中周邊人行道,20160701,63000
87,63000030,金華國中周邊人行道,20160701,63000
88,63000030,龍安國小周邊人行道,20160701,63000
89,63000030,大安國小周邊人行道,20160701,63000
90,63000030,幸安國小周邊人行道,20160701,63000
91,63000030,建安國小周邊人行道,20160701,63000
92,63000030,仁愛國小周邊人行道,20160701,63000
93,63000030,金華國小周邊人行道,20160701,63000
94,63000030,新生國小周邊人行道,20160701,63000
95,63000030,公館國小周邊人行道,20160701,63000
96,63000030,銘傳國小周邊人行道,20160701,63000
97,63000030,新民國小周邊人行道,20161226,63000
98,63000030,立人國際中小學周邊人行道,20161226,63000
99,63000030,金甌女中周邊人行道,20161226,63000
100,63000030,復興高中（附設國民中小學）周邊人行道,20161226,63000
101,63000030,延平高中（附設國民中學）周邊人行道,20161226,63000
102,63000030,開平餐飲職業學校周邊人行道,20161226,63000
103,63000030,東方工商周邊人行道,20161226,63000
104,63000030,國立臺北教育大學周邊人行道,20170401,63000
105,63000030,淡江大學台北校園周邊人行道,20170701,63000
106,63000030,國立臺灣大學社會科學院周邊人行道,20170901,63000
107,63000030,教大實小周邊人行道,20171101,63000
