縣市別代碼,行政區,地點,地址,X,Y
63000,63000010,7-11松禾,塔悠路31號,121.5716161,25.05069217
63000,63000010,7-11松祐,饒河街90號,121.574071,25.05035952
63000,63000010,全家鑫德店,八德路2段400號,121.5465704,25.04804319
63000,63000010,全家台發店,八德路3段30號1樓,121.5515614,25.04808189
63000,63000010,全家復盛店,八德路4段40號號,121.5592396,25.04822345
63000,63000010,全家寶清店,八德路4段598號1樓,121.572437,25.04979818
63000,63000010,全家松慈店,八德路4段676號,121.5763783,25.04987057
63000,63000010,全家昇東店,民生東路5段197號,121.5660916,25.05921952
63000,63000010,全家東豐店,民生東路5段37號,121.5569139,25.05853094
63000,63000010,全家復北店,民權東路3段104號1樓,121.5448394,25.06188323
63000,63000010,全家新民有店,民權東路3段160巷11號,121.5477811,25.06071261
63000,63000010,全家大理店,光復北路11巷50號1樓,121.5599636,25.04980796
63000,63000010,全家新大吉店,吉祥路19號,121.5626726,25.04940999
63000,63000010,全家長復店,長安東路2段219號,121.5448302,25.04834962
63000,63000010,全家力晶店,南京東路3段258號,121.5448292,25.05163001
63000,63000010,全家京萬店,南京東路3段333號,121.5474324,25.05197526
63000,63000010,全家京鑽店,南京東路4段47號1樓,121.5508656,25.05189589
63000,63000010,全家京盛店,南京東路4段56-1號1樓,121.5539285,25.0514349
63000,63000010,全家京兆店,南京東路4段137號,121.5553404,25.05180298
63000,63000010,全家新東光店,南京東路5段123巷1號1樓,121.5607102,25.05214941
63000,63000010,全家京吉店,南京東路5段180號,121.5635777,25.05121579
63000,63000010,全家新東寶店,南京東路5段291巷14號,121.566091,25.05225594
63000,63000010,全家康柏店,健康路220號,121.5609696,25.05385496
63000,63000010,全家民康店,健康路285號1樓,121.5640847,25.05433642
63000,63000010,全家長城店,敦化北路120巷80號,121.5461747,25.0543035
63000,63000010,全家宏勝店,敦化北路153號,121.5494392,25.05413499
63000,63000010,全家慶城店,慶城街16巷10號,121.5456125,25.05265362
63000,63000010,萊爾富北市松育店,八德路3段119號,121.5540601,25.04827887
63000,63000010,萊爾富北市松柏店,光復北路102號,121.5577101,25.05061018
63000,63000010,萊爾富北市松華店,南京東路5段34號,121.559343,25.05131222
63000,63000010,萊爾富北市寶德店,南京東路5段61號,121.5592713,25.05171791
63000,63000010,萊爾富北市饒河店,饒河街35號,121.5724365,25.05016312
63000,63000010,OK松山光復店,光復北路32號1樓,121.557681,25.04930338
63000,63000010,美廉社松山復興店,復興北路427巷1號,121.5446223,25.06342678
63000,63000010,星巴克民生三民,民生東路5段150-1號,121.5624725,25.05855368
63000,63000010,星巴克北寧,南京東路4段56號,121.5538469,25.05143722
63000,63000010,星巴克南京三民,南京東路5段171號1樓,121.5635214,25.05162256
63000,63000010,星巴克慶城,慶城街1號1樓,121.5446323,25.05276091
63000,63000010,路易莎八德台安門市,八德路2段429號1樓,121.5466347,25.04831414
63000,63000010,路易莎八德光復門市,八德路3段237號,121.5572965,25.04826653
63000,63000010,路易莎光復南京門市,南京東路4段166號,121.5567334,25.05137415
63000,63000010,路易莎三民門市,南京東路5段163-13號,121.5625802,25.05165029
63000,63000010,cama caf'e八德台安店,八德路2段358號,121.545759,25.04789904
63000,63000010,cama caf'e松山饒河店,八德路4段668號,121.5761626,25.04986512
63000,63000010,cama caf'e南京三民店,南京東路5段141號,121.5616951,25.05166747
63000,63000010,彼得好小巨蛋店,南京東路4段116號,121.5547871,25.05142942
63000,63000010,7-11庫德,八德路2段366巷7號,121.5460334,25.04772712
63000,63000010,7-11影城,八德路4段245巷35號,121.5643712,25.05056869
63000,63000010,7-11吉祥,八德路4段245巷52弄31號,121.5626709,25.05039773
63000,63000010,7-11松饒,八德路4段767號,121.5779728,25.05120446
63000,63000010,7-11松民,三民路10號,121.5639782,25.05238739
63000,63000010,7-11朝福,三民路115號,121.5632135,25.05813803
63000,63000010,7-11北體,北寧路66號,121.5528302,25.05087983
63000,63000010,7-11市大,市民大道4段105號,121.5480293,25.04519967
63000,63000010,7-11復安,民生東路3段130巷2之1號,121.5460912,25.05735537
63000,63000010,7-11民復,民生東路5段10號,121.555852,25.05818807
63000,63000010,7-11東鑫,民生東路4段55巷10號,121.5503693,25.05835663
63000,63000010,7-11東吉,民生東路5段100號,121.5603062,25.05844876
63000,63000010,7-11東榮,民生東路5段71號,121.558428,25.05870717
63000,63000010,7-11民有,民權東路3段108號,121.5450443,25.06188407
63000,63000010,7-11敦化,民權東路3段160巷9號,121.5478741,25.06081541
63000,63000010,7-11京復,光復北路11巷44號,121.5595522,25.049599
