項次,縣市別代碼,行政區,公園名稱,位置
440,63000,文 山,萬和３號,景美羅斯福路5段218巷38弄底.
441,63000,文 山,萬芳10號,萬芳社區萬美街與萬寧街交叉口.
442,63000,文 山,萬芳11號,"萬芳社區,萬寧街與萬美街1段間."
443,63000,文 山,萬芳12號,"萬芳社區,萬利街3巷旁."
444,63000,文 山,萬芳13號,"萬芳社區,萬美街1段與萬樂街交叉處."
445,63000,文 山,萬芳14號,"萬芳社區,萬利街41巷旁."
446,63000,文 山,萬芳1號,"萬芳社區,萬利街與萬樂街之間."
447,63000,文 山,萬芳2號,"萬芳社區,萬芳路與萬利街交叉口."
448,63000,文 山,萬芳3號,"萬芳社區,萬芳路與萬利街2巷交叉口."
449,63000,文 山,萬芳4號,"萬芳社區,萬和街與萬安街16巷交口."
450,63000,文 山,萬芳6號,"萬芳社區,萬芳路與萬和街交口."
451,63000,文 山,萬芳7號,"萬芳社區,萬美街2段與萬寧街之間."
452,63000,文 山,萬芳８號,萬芳社區萬美街與興德路之間.(公訓處前)
453,63000,文 山,萬芳９號,萬芳社區萬美街與萬寧街交叉口.
454,63000,文 山,萬盛,萬盛街與萬盛街130巷交叉口.
455,63000,文 山,萬壽一號,"萬壽路61巷旁,棲霞山莊旁."
456,63000,文 山,萬壽二號,"萬壽路61巷旁,棲霞山莊旁."
457,63000,文 山,萬壽三號,萬壽路與政大一街間.
458,63000,文 山,萬興櫻花生態,新光路1段104號旁.
459,63000,文 山,試院,木柵路1段89巷旁.
460,63000,文 山,福興,福興路63巷4號旁.
461,63000,文 山,樟林,忠順街1段121巷7弄旁.
462,63000,文 山,樟新,一壽街17巷旁.
463,63000,文 山,樟樹,忠順街1段26巷26弄旁.
464,63000,文 山,樟興,辛亥路7段底與木新路3段交叉口.
465,63000,文 山,興旺,福興路82巷1弄.
466,63000,文 山,興家,興隆路3段207巷10弄旁.
467,63000,文 山,興隆,興隆路2段154巷與仙岩路交口.
468,63000,文 山,興福,景華街121巷14弄旁.
469,63000,文 山,興德,興德路62巷旁
470,63000,文 山,興豐,興隆路2段123巷內.
471,63000,文 山,文木34號,"萬芳社區,萬利街30巷39弄旁."
472,63000,文 山,文木49號,新光路1段185巷內.
473,63000,文 山,文木50號,秀明路2段24巷旁.
474,63000,文 山,文木60號,"木柵動物園,新光路2段與萬福橋旁."
475,63000,文 山,文木68號,指南路2段22巷內.
476,63000,文 山,文景29號,懷恩隧道北側出入口中央處.
477,63000,文 山,文景30號,興德路與興隆路3段交口.
478,63000,文 山,秀明,"久康街,文山(木柵)16號公園對面."
479,63000,文 山,指南,指南路3段24巷旁
480,63000,文 山,軍功,和平東路4段295巷旁.
481,63000,文 山,清溪,指南路3段與政大一街交叉口
482,63000,文 山,文木13號,懷恩隧道南側出入口
483,63000,文 山,萬利,"萬芳社區,萬利街41巷旁."
484,63000,文 山,興得綠色步道,興隆路3段海巡署前.
485,63000,文山,文木14號,懷恩隧道南側出入口中央(含上方).
486,63000,北 投,關渡自然公園,臺北市北投區關渡路55號
487,63000,北 投,10號,立農街2段301號旁
488,63000,北 投,69號,崇仰一路與奇岩路交口.
489,63000,北 投,七虎,"育仁路106號,薇閣小學旁."
490,63000,北 投,七星,七星街旁(新北投捷運站旁).
491,63000,北 投,大豐,公館路13號旁.
492,63000,北 投,中央,大興街與中央南路2段6巷口.
493,63000,北 投,中庸一號,雙全街50號對面.
494,63000,北 投,丹鳳,公?路255巷19弄旁.
495,63000,北 投,公館,三合街1段36巷旁.
496,63000,北 投,天狗庵史蹟,溫泉路73巷.(天狗庵舊址).
497,63000,北 投,文化(一.二)號,中央北路2段、文化三路交口.
498,63000,北 投,文化3號,中央北路2段68巷進入(42巷11弄旁).
499,63000,北 投,北投一號,中山路、光明路所圍範圍.
500,63000,北 投,北投二號,中山路5號附近.
501,63000,北 投,北投三號,中山路5一7號附近.
502,63000,北 投,北投五號,"光明路,溫泉路交口."
503,63000,北 投,北投四號,光明路228號對面.
504,63000,北 投,北投社三層崎,秀山路50號旁.
505,63000,北 投,石牌,石牌路1段39巷及石牌路1段39巷120弄交叉口.
506,63000,北 投,立農,"承德路7段,吉利街交叉口."
507,63000,北 投,吉利,吉利街149巷旁.
508,63000,北 投,行義,石牌路2段343巷8號附近(原北投第六公墓).
509,63000,北 投,奇岩一號,三合街1段磺港路上.
510,63000,北 投,奇岩二號,三合街1段磺港路上.
511,63000,北 投,奇岩三號,三合街1段79巷旁.
512,63000,北 投,東華,東華街2段300巷19號對面.
513,63000,北 投,林泉,溫泉路158號旁.
514,63000,北 投,知行,知行路255巷旁.
515,63000,北 投,前山一號,建國街4號旁.
516,63000,北 投,前山二號,紗帽路117號對面.
517,63000,北 投,前山四號,陽明山湖山路、勝利街交口.
518,63000,北 投,建民,文林北路16巷7號對面.
519,63000,北 投,泉源47號,珠海路161巷口前.
520,63000,北 投,洲美,北投士林科技園區(福美路166號斜對面)
521,63000,北 投,洲美蜆仔港,北投士林科技園區(洲美街、承德路6段交口)
522,63000,北 投,重三,新興路與重三路交口
523,63000,北 投,振華,振華街24號對面.
524,63000,北 投,振興,天母西路與磺溪交叉口.
525,63000,北 投,桂花,中山路5一7號旁.(林泉里辦公處旁)
526,63000,北 投,桃源,中央北路3段148巷底.(主題公園：原生植物公園)
527,63000,北 投,崇仰,"崇仰一路,公館路255巷底.(原奇岩公園)"
528,63000,北 投,清江(一)號,崇仁路1段155巷旁.
529,63000,北 投,軟橋,北投士林科技園區(文林北路53巷內).
530,63000,北 投,復興,珠海路、中和街、復興一路所圍範圍.
531,63000,北 投,開明,珠海路106號附近.
532,63000,北 投,陽明,湖山路2段、中興路、陽金公路所圍範圍
533,63000,北 投,嗄嘮別,中央北路3段，桃源國小東北側
534,63000,北 投,新興,新興路150號對面..
535,63000,北 投,聖景一號,聖景路100號內.
536,63000,北 投,聖景二號,聖景路101號內.
537,63000,北 投,聖景三號,聖景路102號內.
538,63000,北 投,榮光,石牌路1段(石牌國中對面).
539,63000,北 投,榮富,榮華三路及磺溪旁(過天母橋).
540,63000,北 投,榮華,明德路150巷22號對面.
541,63000,北 投,福星,北投士林科技園區
542,63000,北 投,福興,自強街61巷旁
543,63000,北 投,稻中,中央北路2段334號旁(政校後勤區)
544,63000,北 投,稻香,新興路、秀山路交叉口.
