項次,縣市別代碼,行政區,公園名稱,位置
796,63000,萬 華,柳鄉,環河南路2段100巷內
797,63000,萬 華,桂林,環河南路2段與桂林路交口(立人高中旁).
798,63000,萬 華,華江1號,和平西路3段309巷與環河南路2段158巷間.
799,63000,萬 華,華江2號,環河南路2段154、156、158巷間.
800,63000,萬 華,華江7號,和平西路3段302巷1號.
801,63000,萬 華,華江8號,環河南路2段250巷28弄旁.
802,63000,萬 華,華西,華西街21巷內(桂林路與華西街口).
803,63000,萬 華,壽德,萬青街118巷旁.
804,63000,萬 華,福星,漢口街與昆明街交叉口.
805,63000,萬 華,綠堤,環河南路2段159巷邊.
806,63000,萬 華,聚德,和平西路3段286巷1弄旁.
807,63000,萬 華,艋舺,"廣州街,西園路交叉口.(原龍山寺公園)"
808,63000,萬 華,糖?,大理街175巷及和平西路3段286巷間.
809,63000,萬 華,糖?文化園區,大理街160巷旁
810,63000,萬 華,錦德,德昌街與西園路2段281巷5弄交口.
811,63000,萬 華,226號,康定路與貴陽街2段交口.
812,63000,萬 華,電影主題公園,康定路19號
813,63000,萬 華,華江雁鴨自然公園,環河路
814,63000,跨區,捷運線形,捷運中山地下街R1出口至捷運忠義站
815,63000,河濱公園,大佳,"基隆河大直橋至中山橋
（大佳段）"
816,63000,河濱公園,中正,中正橋至騰雲陸橋下游停車場
817,63000,河濱公園,木柵,文山區和興路26巷（景美溪橋上游）至寶橋
818,63000,河濱公園,古亭,福和橋至中正橋間
819,63000,河濱公園,成美右岸,"基隆河成功橋至麥帥一橋間
（基隆河右岸）"
820,63000,河濱公園,成美左岸,"基隆河成功橋至麥帥一橋間
（基隆河左岸）"
821,63000,河濱公園,百齡右岸,"基隆河承德橋至雙溪河口
（河右岸）"
822,63000,河濱公園,百齡左岸,"基隆河承德橋至社子24街
（河左岸）"
823,63000,河濱公園,延平,忠孝橋至延平北路9段中洲抽水站
824,63000,河濱公園,河雙,"洲美街旁
（雙溪橋下游右岸河川高灘地)"
825,63000,河濱公園,迎風,"基隆河大直橋至中山高速公路間
（金泰段左岸）"
826,63000,河濱公園,南湖右岸,"基隆河南湖橋至成功橋
（基隆河右岸）"
827,63000,河濱公園,南湖左岸,"基隆河南湖橋至成功橋
（基隆河左岸）"
828,63000,河濱公園,美堤,"基隆河大直橋至中山高速公路間
（金泰段右岸）"
829,63000,河濱公園,馬場町,新店溪1號疏散門堤外左右兩側
830,63000,河濱公園,彩虹,"基隆河中山高速公路至麥帥一橋間
（舊宗段右岸）"
831,63000,河濱公園,富州,延平北路9段中洲抽水站
832,63000,河濱公園,景美,景美橋至景文街146巷鋼便橋
833,63000,河濱公園,華中,青年路果菜市場停車場至萬板大橋
834,63000,河濱公園,圓山,中山北路3段185巷1號
835,63000,河濱公園,道南,"文山區景美溪於動物園至醉夢溪間及寶橋
（寶橋上游新店市界至恆光橋）"
836,63000,河濱公園,福安,延平北路7段27巷底至107巷堤外
837,63000,河濱公園,福和,福和橋上游（溪州街沿線至景福街間）堤外至景文街146巷鋼便橋
838,63000,河濱公園,龍山,忠孝橋上游至桂林路底
839,63000,河濱公園,雙園,萬板大橋至華江橋
840,63000,河濱公園,雙溪,復興橋至雙溪橋段兩岸
841,63000,河濱公園,關渡水岸公園,東至關渡宮、西至河堤內、南至車輛調度小圓環、北至中央北路4段601巷第4期工程之北口
842,63000,河濱公園,觀山,"基隆河中山高速公路至麥帥一橋間
（舊宗段左岸）"
