序號,管理單位,行政區,行政區代碼,認養標的名稱,屬性,認養位置,認養單位名稱
1,青年所,大安區,63000030,?公圳公園西側,公園,大安區建國南路以東、忠孝東路3段193巷以西之?公圳公園西側,忠泰長虹建設股份有限公司及統創建設股份有限公司
2,青年所,大安區,63000030,大安森林公園(部分區域),公園,新生南路以東信義路3段以南,財團法人大安森林公園之友基金會
3,園工隊,大安區,63000030,仁愛路四段行道樹,行道樹,仁愛路四段169號(11株),富邦公寓大廈管理維護股份有限公司
4,園工隊,大安區,63000030,金山南路行道樹,行道樹,金山南路與愛國東路口(19株),中華電信行動通信分公司
5,園工隊,大安區,63000030,復興南路1段191號前與116巷兩側,行道樹,復興南路1段191號前與116巷兩側,福泰國際旅館管理顧問股份有限公司
6,園工隊,大安區,63000030,和平東路一段行道樹,行道樹,和平東路一段39.43.53號前,台灣電力公司核能火力發電工程處
7,園工隊,大安區,63000030,仁愛路圓環四周行道樹,行道樹,仁愛路三段,台新國際商業銀行股份有限公司
8,園工隊,大安區,63000030,愛國東路31號前行道樹,行道樹,愛國東路31號（中華電信國際分公司）,中華電信國際電信分公司
9,園工隊,大安區,63000030,辛亥路1段113-115號行道樹,行道樹,辛亥路1段113-115號前(7株),臺北市私立新民國民小學
10,園工隊,大安區,63000030,和平東路二段行道樹,行道樹,和平東路二段24號至28號,財團法人台北市中國基督教靈糧世界佈道台北靈糧堂
11,園工隊,大安區,63000030,和平東路1段行道樹(師大路至泰順街),行道樹,和平東路1段行道樹(師大路至泰順街),大安區龍泉里辦公處
12,園工隊,大安區,63000030,和平東路1段行道樹,行道樹,和平東路1段8-1號,國泰棉紙有限公司
13,園工隊,大安區,63000030,敦化南路1段269、271號前行道樹,行道樹,敦化南路1段269、271號前行道樹,昇陽敦凰大廈管理委員會
14,園工隊,大安區,63000030,光復南路98號前植穴,行道樹,光復南路98號前植穴,逸仙名邸管理委員會
15,園工隊,大安區,63000030,仁愛路3段160號前及復興南路1段行道樹,行道樹,仁愛路3段160號前及復興南路1段行道樹,福華大飯店股份有限公司
16,園工隊,大安區,63000030,忠孝東路與復興南路行道樹,行道樹,忠孝東路與復興南路口(BR4),太平洋崇光百貨股份有限公司
17,園工隊,大安區,63000030,敦化南路2段行道樹,行道樹,敦化南路2段97、99、101號前,敦南摩天大廈管理委員會
18,園工隊,大安區,63000030,仁愛路3段53號前行道樹,行道樹,仁愛路3段53號前行道樹,帝寶管理委員會
19,園工隊,大安區,63000030,仁愛路3段30、32號前行道樹5株,行道樹,仁愛路3段30、32號前行道樹5株,杏林大樓公寓大廈管理委員會
20,園工隊,大安區,63000030,敦化南路2段230號前行道樹6株,行道樹,敦化南路2段230號前行道樹6株,英屬維京群島商太古國際汽車股份有限公司台灣分公司
21,園工隊,大安區,63000030,敦化南路1段單號側與市民大道4段口人行道上行道樹,行道樹,敦化南路1段單號側與市民大道4段口人行道上行道樹,富邦人壽保險股份有限公司
22,園工隊,大安區,63000030,敦化南路1段350號前行道樹,行道樹,敦化南路1段350號前行道樹,1邸管理委員會
23,園工隊,大安區,63000030,光復南路200號前行道樹,行道樹,光復南路200號前行道樹,臺北國聯大飯店
24,園工隊,大安區,63000030,復興南路2段273至291號間行道樹,行道樹,復興南路2段273至291號間行道樹,又嘉企管顧問有限公司
25,園工隊,大安區,63000030,安和路2段22至30號間行道樹,行道樹,安和路2段22至30號間行道樹,翠峰大廈管理委員會
26,園工隊,大安區,63000030, 金山南路2段和平東路1段口,行道樹, 金山南路2段和平東路1段口,和平大苑社區管理負責人
27,園工隊,大安區,63000030,建國南路2段39巷至69巷間人行道上行道樹,行道樹,建國南路2段39巷至69巷間人行道上行道樹,元利建設企業股份有限公司
28,園工隊,大安區,63000030,安和路1段18號前,行道樹,安和路1段18號前,施O郁                                                                             
29,園工隊,大安區,63000030,敦化南路1段327號前行道樹,行道樹,敦化南路1段327號前行道樹,敦南金星社區管理負責人
30,園工隊,大安區,63000030,辛亥路與汀洲路口,行道樹,辛亥路與汀洲路口,潤泰創新國際股份有限公司
31,園工隊,大安區,63000030,信義路4段96、98號前行道樹,行道樹,信義路4段96、98號前行道樹,敦南麗舍大廈管理委員會
32,園工隊,大安區,63000030,長興街81號前,行道樹,長興街81號前,國立臺灣大學生物技術研究中心
33,園工隊,大安區,63000030,仁愛路3段128號前行道樹,行道樹,仁愛路3段128號前行道樹,仁愛大樓(林O宏)
34,園工隊,大安區,63000030,敦化南路1段與市民大道口（西南側）行道樹,行道樹,敦化南路1段與市民大道口（西南側）行道樹,中國建築經理股份有限公司
35,園工隊,大安區,63000030,忠孝東路3段行道樹（臺北科技大學精勤樓新建大樓側）,行道樹,忠孝東路3段行道樹（臺北科技大學精勤樓新建大樓側）,國立臺北科技大學
36,園工隊,大安區,63000030,建國南路1段161號前,行道樹,建國南路1段161號前,現代BOSS公寓大廈管理委員會
37,園工隊,大安區,63000030,辛亥路1段68號前行道樹,行道樹,辛亥路1段68號前行道樹,吳OO月
38,園工隊,大安區,63000030,仁愛路4段337號前,行道樹,基隆路2段250號前,謙回住宅大樓管理委員會
39,園工隊,大安區,63000030,仁愛路4段337號前,行道樹,仁愛路4段337號前,百利大廈管理委員會
40,園工隊,大安區,63000030,建國南路2段3號前,行道樹,建國南路2段3號前,冰糖粉圓專賣店
41,園工隊,大安區,63000030,敦化南路2段120號斜對面,行道樹,敦化南路2段120號斜對面,江O霞
