編號,行政區,停車場名稱,地址,身心障礙汽車格位統計數值,身心障礙機車格位統計數值,無障礙電梯,無障礙廁所,無障礙樓梯扶手,TMPX,TMPY,QUERYSERVICECODE
1,士林區,百齡高中地下停車場,臺北市士林區承德路4段175號地下,5,,,v,v,,,
2,士林區,前港公園地下停車場,臺北市士林區前港街45號地下,11,,v,v,v,302485.636,2775299.133,TPGOS_CA_ADDR
3,士林區,社園立體(機械),臺北市士林區延平北路6段180號,6,,,v,v,,,
4,士林區,文昌國小地下停車場,臺北市士林區文林路615巷20號地下,5,6,v,v,v,302538.164,2776912.616,TPGOS_CA_ADDR
5,士林區,海光公園地下停車場,臺北市士林區葫蘆街83號地下,2,,v,v,v,301276.365,2774881.347,TPGOS_CA_ADDR
6,士林區,社子國小地下停車場,臺北市士林區延平北路6段308號地下,10,5,v,v,v,300730.467,2775818.774,TPGOS_CA_ADDR
7,士林區,承德公園地下停車場,臺北市士林區基河路150號地下,6,2,v,v,v,302678.604,2775840.168,TPGOS_CA_ADDR
8,士林區,蘭雅公園地下停車場,臺北市士林區德行東路129巷31號地下,4,,v,v,v,303375.13,2778020.556,TPGOS_CA_ADDR
9,士林區,福林公園地下停車場,臺北市士林區中正路17號地下,5,2,v,v,v,303510.022,2776499.898,TPGOS_CA_ADDR
10,大同區,塔城公園地下停車場,臺北市大同區塔城街11號地下,4,,v,v,v,301521.184,2771508.989,TPGOS_CA_ADDR
11,大同區,市民大道(塔城段),臺北市大同區西寧北路-塔城街(地下),11,,,v,v,,,
12,大同區,大稻埕公園地下停車場,臺北市大同區歸綏街243號地下,5,,v,v,v,301514.178,2772338.378,TPGOS_CA_ADDR
13,大同區,成淵高中地下停車場,臺北市大同區承德路2段235號之1地下,6,,,v,v,,,
14,大同區,建成國中地下停車場,臺北市大同區長安西路37號之一地下,7,3,v,v,v,302437.304,2771457.038,TGOS_V2_ADDR
15,大同區,朝陽公園地下停車場,臺北市大同區重慶北路2段68號地下,5,,v,v,v,301830.939,2772094.503,TPGOS_CA_ADDR
16,大同區,蓬萊國小地下停車場,臺北市大同區寧夏路35號地下,6,3,v,v,v,302018.059,2772138.475,TPGOS_CA_ADDR
17,大同區,建成公園地下停車場,臺北市大同區承德路2段31號地下,6,4,v,v,v,302290.18,2771851.242,TPGOS_CA_ADDR
18,大同區,大龍國小地下停車場,臺北市大同區哈密街47號地下,6,3,v,v,v,302127.204,2774007.664,TPGOS_CA_ADDR
19,大同區,啟聰學校地下停車場,臺北市大同區延平北路4段205號,4,4,v,v,v,301625.052,2774104.809,TPGOS_CA_ADDR
20,大同區,揚雅立體停車場(機械),臺北市大同區大龍街136號,5,,機械塔無設置,v,v,,,
21,大安區,大安森林公園地下停車場,臺北市大安區建國南路2段2號地下,27,8,v,v,v,304224.082,2769427.701,TPGOS_CA_ADDR
22,大安區,金華地下停車場,臺北市大安區金華街254巷1號地下,4,,v,v,v,303628.454,2769212.935,TGOS_V2_ADDR
