NO,Administrative district,Riverside Park,Location,Type,Remark,Longitude,Latitude,Long_TWD97,Lat_WD97
S46,萬華區,華中河濱公園,華中足球場水防道路旁,一般型,,121.491797,25.020756,299634.05,2768166.65
S47,萬華區,華中河濱公園,光復橋上游足球場旁,一般型,,121.490944,25.021722,299547.57,2768273.34
S48,萬華區,華中河濱公園,光復橋下,一般型,,121.490306,25.024222,299482.18,2768550.02
S49,萬華區,華中河濱公園,光復橋下,無障礙,,121.490256,25.024218,299477.13,2768549.56
S50,萬華區,華中河濱公園,華翠橋上游羽球場旁,一般型,,121.489556,25.026306,299405.65,2768780.58
S51,萬華區,華中河濱公園,華翠橋下,一般型,,121.488389,25.0275,299287.4,2768912.41
S52,萬華區,雙園河濱公園,萬板橋下游自行車道旁,一般型,,121.487581,25.031222,299204.37,2769324.38
S53,萬華區,雙園河濱公園,華江疏散門堤外停車場內,無障礙,,121.488417,25.032472,299288.24,2769463.14
S54,萬華區,雙園河濱公園,華江橋上游棒壘球場旁-,一般型,,121.486687,25.034637,299112.79,2769702.32
S55,萬華區,雙園河濱公園,華江橋上游棒壘球場旁,無障礙,,121.486588,25.034689,299102.78,2769708.04
S56,萬華區,雙園河濱公園,華江橋下自行車道旁,無障礙,,121.486935,25.035728,299137.38,2769823.25
S57,萬華區,雙園河濱公園,華江橋下自行車道旁,一般型,,121.486922,25.03569,299136.09,2769819.04
S58,萬華區,龍山河濱公園,貴陽疏散門前方自行車道旁,一般型,,121.498321,25.041367,300284.08,2770452.04
S59,萬華區,龍山河濱公園,貴陽疏散門前方自行車道旁,無障礙,,121.498361,25.041417,300288.1,2770457.59
S60,大同區,延平河濱公園,忠孝橋上游50公尺自行車道旁,一般型,,121.505108,25.049827,300965.45,2771391.65
S61,大同區,延平河濱公園,忠孝橋上游50公尺自行車道旁,一般型,,121.505122,25.049813,300966.87,2771390.1
S62,大同區,延平河濱公園,大稻埕延平宮下游水防道路旁,一般型,,121.507139,25.053167,301169,2771762.37
S63,大同區,延平河濱公園,天水宮自行車道旁,無障礙,,121.508265,25.058146,301280.54,2772314.3
